chr	start	end	strand	type	id	geneName	geneId	numberOfTranscripts	canonicalTranscriptLength	transcriptId	cdsLength	numerOfExons	exonRank	exonSpliceType
HG1458_PATCH	142597914	142597978	+1	Exon	exon_HG1458_PATCH_142597914_142597977	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	5	RETAINED
HG1458_PATCH	142475468	142475560	+1	Exon	exon_HG1458_PATCH_142475468_142475559	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	3	RETAINED
HG1458_PATCH	142597395	142597524	+1	Exon	exon_HG1458_PATCH_142597395_142597523	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	4	RETAINED
HG1458_PATCH	142372853	142447377	+1	Intron	ENST00000600464_intron_1	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142447463	142475468	+1	Intron	ENST00000600464_intron_2	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142475560	142597395	+1	Intron	ENST00000600464_intron_3	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142597524	142597914	+1	Intron	ENST00000600464_intron_4	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142597978	142604428	+1	Intron	ENST00000600464_intron_5	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142521745	142526745	+1	Downstream	ENST00000597117	MTND1P33	ENSG00000267967	1	917	ENST00000597117	917	1		
HG1458_PATCH	142522303	142523067	+1	Gene	ENSG00000269864	RP5-1189K21.2	ENSG00000269864	1	764					
HG1458_PATCH	142522303	142523067	+1	Transcript	ENST00000602180	RP5-1189K21.2	ENSG00000269864	1	764	ENST00000602180	764	1		
HG1458_PATCH	142522303	142523067	+1	Exon	exon_HG1458_PATCH_142522303_142523066	RP5-1189K21.2	ENSG00000269864	1	764	ENST00000602180	764	1	1	RETAINED
HG1458_PATCH	142447463	142447465	+1	SpliceSiteDonor	exon_HG1458_PATCH_142447377_142447462	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	2	RETAINED
HG1458_PATCH	142431762	142432372	+1	Gene	ENSG00000269299	PGBD4P6	ENSG00000269299	1	610					
HG1458_PATCH	142431762	142432372	+1	Transcript	ENST00000600884	PGBD4P6	ENSG00000269299	1	610	ENST00000600884	610	1		
HG1458_PATCH	142431762	142432372	+1	Exon	exon_HG1458_PATCH_142431762_142432371	PGBD4P6	ENSG00000269299	1	610	ENST00000600884	610	1	1	RETAINED
HG1458_PATCH	142372850	142372853	+1	SpliceSiteRegion	exon_HG1458_PATCH_142372763_142372852	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	1	RETAINED
HG1458_PATCH	1	142372763	+1	Intergenic	GS1-256O22.5									
HG1458_PATCH	142367763	142372763	+1	Upstream	ENST00000600464	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142426762	142431762	+1	Upstream	ENST00000600884	PGBD4P6	ENSG00000269299	1	610	ENST00000600884	610	1		
HG1458_PATCH	142372853	142372855	+1	SpliceSiteDonor	exon_HG1458_PATCH_142372763_142372852	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	1	RETAINED
HG1458_PATCH	142447375	142447377	+1	SpliceSiteAcceptor	exon_HG1458_PATCH_142447377_142447462	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	2	RETAINED
HG1458_PATCH	142447369	142447375	+1	SpliceSiteRegion	ENST00000600464_intron_1	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142432372	142437372	+1	Downstream	ENST00000600884	PGBD4P6	ENSG00000269299	1	610	ENST00000600884	610	1		
HG1458_PATCH	142447460	142447463	+1	SpliceSiteRegion	exon_HG1458_PATCH_142447377_142447462	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	2	RETAINED
HG1458_PATCH	142447377	142447380	+1	SpliceSiteRegion	exon_HG1458_PATCH_142447377_142447462	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	2	RETAINED
HG1458_PATCH	142475560	142475562	+1	SpliceSiteDonor	exon_HG1458_PATCH_142475468_142475559	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	3	RETAINED
HG1458_PATCH	142475466	142475468	+1	SpliceSiteAcceptor	exon_HG1458_PATCH_142475468_142475559	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	3	RETAINED
HG1458_PATCH	142475460	142475466	+1	SpliceSiteRegion	ENST00000600464_intron_2	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142447465	142447471	+1	SpliceSiteRegion	ENST00000600464_intron_2	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142475557	142475560	+1	SpliceSiteRegion	exon_HG1458_PATCH_142475468_142475559	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	3	RETAINED
HG1458_PATCH	142475468	142475471	+1	SpliceSiteRegion	exon_HG1458_PATCH_142475468_142475559	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	3	RETAINED
HG1458_PATCH	142515828	142520828	+1	Upstream	ENST00000597117	MTND1P33	ENSG00000267967	1	917	ENST00000597117	917	1		
HG1458_PATCH	142517303	142522303	+1	Upstream	ENST00000602180	RP5-1189K21.2	ENSG00000269864	1	764	ENST00000602180	764	1		
HG1458_PATCH	142475562	142475568	+1	SpliceSiteRegion	ENST00000600464_intron_3	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142520828	142521745	+1	Gene	ENSG00000267967	MTND1P33	ENSG00000267967	1	917					
HG1458_PATCH	142520828	142521745	+1	Transcript	ENST00000597117	MTND1P33	ENSG00000267967	1	917	ENST00000597117	917	1		
HG1458_PATCH	142520828	142521745	+1	Exon	exon_HG1458_PATCH_142520828_142521744	MTND1P33	ENSG00000267967	1	917	ENST00000597117	917	1	1	RETAINED
HG1458_PATCH	142597521	142597524	+1	SpliceSiteRegion	exon_HG1458_PATCH_142597395_142597523	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	4	RETAINED
HG1458_PATCH	142596946	142596949	-1	SpliceSiteRegion	exon_HG1458_PATCH_142596521_142596948	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2	2	RETAINED
HG1458_PATCH	142533994	142534124	-1	Gene	ENSG00000267851	AC239395.1	ENSG00000267851	1	130					
HG1458_PATCH	142533994	142534124	-1	Transcript	ENST00000594889	AC239395.1	ENSG00000267851	1	130	ENST00000594889	130	1		
HG1458_PATCH	142533994	142534124	-1	Exon	exon_HG1458_PATCH_142533994_142534123	AC239395.1	ENSG00000267851	1	130	ENST00000594889	130	1	1	RETAINED
HG1458_PATCH	142528994	142533994	+1	Downstream	ENST00000594889	AC239395.1	ENSG00000267851	1	130	ENST00000594889	130	1		
HG1458_PATCH	142523067	142528067	+1	Downstream	ENST00000602180	RP5-1189K21.2	ENSG00000269864	1	764	ENST00000602180	764	1		
HG1458_PATCH	142591521	142596521	+1	Downstream	ENST00000594053	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2		
HG1458_PATCH	142534124	142539124	+1	Upstream	ENST00000594889	AC239395.1	ENSG00000267851	1	130	ENST00000594889	130	1		
HG1458_PATCH	142597393	142597395	+1	SpliceSiteAcceptor	exon_HG1458_PATCH_142597395_142597523	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	4	RETAINED
HG1458_PATCH	142597387	142597393	+1	SpliceSiteRegion	ENST00000600464_intron_3	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142596949	142596951	-1	SpliceSiteAcceptor	exon_HG1458_PATCH_142596521_142596948	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2	2	RETAINED
HG1458_PATCH	142597395	142597398	+1	SpliceSiteRegion	exon_HG1458_PATCH_142597395_142597523	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	4	RETAINED
HG1458_PATCH	142597975	142597978	+1	SpliceSiteRegion	exon_HG1458_PATCH_142597914_142597977	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	5	RETAINED
HG1458_PATCH	142597906	142597912	+1	SpliceSiteRegion	ENST00000600464_intron_4	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142597526	142597532	+1	SpliceSiteRegion	ENST00000600464_intron_4	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142597524	142597526	+1	SpliceSiteDonor	exon_HG1458_PATCH_142597395_142597523	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	4	RETAINED
HG1458_PATCH	142597914	142597917	+1	SpliceSiteRegion	exon_HG1458_PATCH_142597914_142597977	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	5	RETAINED
HG1458_PATCH	142597912	142597914	+1	SpliceSiteAcceptor	exon_HG1458_PATCH_142597914_142597977	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	5	RETAINED
HG1458_PATCH	142604426	142604428	+1	SpliceSiteAcceptor	exon_HG1458_PATCH_142604428_142604589	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	6	RETAINED
HG1458_PATCH	142597980	142597986	+1	SpliceSiteRegion	ENST00000600464_intron_5	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6		
HG1458_PATCH	142597978	142597980	+1	SpliceSiteDonor	exon_HG1458_PATCH_142597914_142597977	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	5	RETAINED
HG1458_PATCH	142604428	142604431	+1	SpliceSiteRegion	exon_HG1458_PATCH_142604428_142604589	GS1-256O22.5	ENSG00000269247	1	623	ENST00000600464	623	6	6	RETAINED
HG1458_PATCH	142809210	142814210	+1	Upstream	ENST00000598475	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2		
HG1458_PATCH	142809210	142845523	+1	Intergenic	SPANXN2...RP3-526F5.2									
HG1458_PATCH	142715914	142722993	-1	Gene	ENSG00000269158	SLITRK4	ENSG00000269158	2	2514					
HG1458_PATCH	142716381	142722290	-1	Transcript	ENST00000596188	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2		
HG1458_PATCH	142716381	142718895	-1	Cds	stop_codon_HG1458_PATCH_142716381_142716383	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2		
HG1458_PATCH	142722114	142722290	-1	Utr5prime	exon_HG1458_PATCH_142722114_142722289	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2	1	ALTTENATIVE_PROMOMOTER
HG1458_PATCH	142718895	142718945	-1	Utr5prime	exon_HG1458_PATCH_142716381_142718944	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2	2	ALTTENATIVE_5SS
HG1458_PATCH	142716381	142718945	-1	Exon	exon_HG1458_PATCH_142716381_142718944	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2	2	ALTTENATIVE_5SS
HG1458_PATCH	142722114	142722290	-1	Exon	exon_HG1458_PATCH_142722114_142722289	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2	1	ALTTENATIVE_PROMOMOTER
HG1458_PATCH	142718945	142722114	-1	Intron	ENST00000596188_intron_1	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2		
HG1458_PATCH	142715914	142722993	-1	Transcript	ENST00000601301	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2		
HG1458_PATCH	142716381	142718895	-1	Cds	stop_codon_HG1458_PATCH_142716381_142716383	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2		
HG1458_PATCH	142722665	142722993	-1	Utr5prime	exon_HG1458_PATCH_142722665_142722992	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2	1	ALTTENATIVE_PROMOMOTER
HG1458_PATCH	142718895	142718945	-1	Utr5prime	exon_HG1458_PATCH_142715914_142718944	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2	2	ALTTENATIVE_5SS
HG1458_PATCH	142715914	142716381	-1	Utr3prime	exon_HG1458_PATCH_142715914_142718944	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2	2	ALTTENATIVE_5SS
HG1458_PATCH	142715914	142718945	-1	Exon	exon_HG1458_PATCH_142715914_142718944	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2	2	ALTTENATIVE_5SS
HG1458_PATCH	142722665	142722993	-1	Exon	exon_HG1458_PATCH_142722665_142722992	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2	1	ALTTENATIVE_PROMOMOTER
HG1458_PATCH	142718945	142722665	-1	Intron	ENST00000601301_intron_1	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2		
HG1458_PATCH	142722290	142727290	+1	Upstream	ENST00000596188	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2		
HG1458_PATCH	142718945	142718947	-1	SpliceSiteAcceptor	exon_HG1458_PATCH_142715914_142718944	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2	2	ALTTENATIVE_5SS
HG1458_PATCH	142718945	142718947	-1	SpliceSiteAcceptor	exon_HG1458_PATCH_142716381_142718944	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2	2	ALTTENATIVE_5SS
HG1458_PATCH	142605262	142715914	+1	Intergenic	SPANXN3...SLITRK4									
HG1458_PATCH	142710914	142715914	+1	Downstream	ENST00000601301	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2		
HG1458_PATCH	142711381	142716381	+1	Downstream	ENST00000596188	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2		
HG1458_PATCH	142605262	142610262	+1	Upstream	ENST00000594053	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2		
HG1458_PATCH	142605100	142605103	-1	SpliceSiteRegion	exon_HG1458_PATCH_142605100_142605261	SPANXN3	ENSG00000268490	1	426	ENST00000594053	426	2	1	RETAINED
HG1458_PATCH	142718942	142718945	-1	SpliceSiteRegion	exon_HG1458_PATCH_142715914_142718944	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2	2	ALTTENATIVE_5SS
HG1458_PATCH	142718942	142718945	-1	SpliceSiteRegion	exon_HG1458_PATCH_142716381_142718944	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2	2	ALTTENATIVE_5SS
HG1458_PATCH	142722663	142722665	-1	SpliceSiteDonor	exon_HG1458_PATCH_142722665_142722992	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2	1	ALTTENATIVE_PROMOMOTER
HG1458_PATCH	142722114	142722117	-1	SpliceSiteRegion	exon_HG1458_PATCH_142722114_142722289	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2	1	ALTTENATIVE_PROMOMOTER
HG1458_PATCH	142722112	142722114	-1	SpliceSiteDonor	exon_HG1458_PATCH_142722114_142722289	SLITRK4	ENSG00000269158	2	2514	ENST00000596188	2514	2	1	ALTTENATIVE_PROMOMOTER
HG1458_PATCH	142722665	142722668	-1	SpliceSiteRegion	exon_HG1458_PATCH_142722665_142722992	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2	1	ALTTENATIVE_PROMOMOTER
HG1458_PATCH	142799741	142809210	-1	Gene	ENSG00000268988	SPANXN2	ENSG00000268988	1	543					
HG1458_PATCH	142799741	142809210	-1	Transcript	ENST00000598475	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2		
HG1458_PATCH	142808377	142808455	-1	Cds	CDS_HG1458_PATCH_142808377_142808454	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2		
HG1458_PATCH	142799821	142800286	-1	Cds	stop_codon_HG1458_PATCH_142799821_142799823	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2		
HG1458_PATCH	142808455	142809210	-1	Utr5prime	exon_HG1458_PATCH_142808377_142809209	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2	1	RETAINED
HG1458_PATCH	142799741	142799821	-1	Utr3prime	exon_HG1458_PATCH_142799741_142800285	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2	2	RETAINED
HG1458_PATCH	142808377	142809210	-1	Exon	exon_HG1458_PATCH_142808377_142809209	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2	1	RETAINED
HG1458_PATCH	142799741	142800286	-1	Exon	exon_HG1458_PATCH_142799741_142800285	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2	2	RETAINED
HG1458_PATCH	142800286	142808377	-1	Intron	ENST00000598475_intron_1	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2		
HG1458_PATCH	142764939	142766149	-1	Gene	ENSG00000268526	GS1-256O22.3	ENSG00000268526	1	1210					
HG1458_PATCH	142764939	142766149	-1	Transcript	ENST00000582116	GS1-256O22.3	ENSG00000268526	1	1210	ENST00000582116	1210	1		
HG1458_PATCH	142764939	142766149	-1	Exon	exon_HG1458_PATCH_142764939_142766148	GS1-256O22.3	ENSG00000268526	1	1210	ENST00000582116	1210	1	1	RETAINED
HG1458_PATCH	142722993	142764939	+1	Intergenic	SLITRK4...GS1-256O22.3									
HG1458_PATCH	142759939	142764939	+1	Downstream	ENST00000582116	GS1-256O22.3	ENSG00000268526	1	1210	ENST00000582116	1210	1		
HG1458_PATCH	142722993	142727993	+1	Upstream	ENST00000601301	SLITRK4	ENSG00000269158	2	2514	ENST00000601301	2514	2		
HG1458_PATCH	142766149	142799741	+1	Intergenic	GS1-256O22.3...SPANXN2									
HG1458_PATCH	142794741	142799741	+1	Downstream	ENST00000598475	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2		
HG1458_PATCH	142766149	142771149	+1	Upstream	ENST00000582116	GS1-256O22.3	ENSG00000268526	1	1210	ENST00000582116	1210	1		
HG1458_PATCH	142808375	142808377	-1	SpliceSiteDonor	exon_HG1458_PATCH_142808377_142809209	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2	1	RETAINED
HG1458_PATCH	142800286	142800288	-1	SpliceSiteAcceptor	exon_HG1458_PATCH_142799741_142800285	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2	2	RETAINED
HG1458_PATCH	142800283	142800286	-1	SpliceSiteRegion	exon_HG1458_PATCH_142799741_142800285	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2	2	RETAINED
HG1458_PATCH	142808377	142808380	-1	SpliceSiteRegion	exon_HG1458_PATCH_142808377_142809209	SPANXN2	ENSG00000268988	1	543	ENST00000598475	543	2	1	RETAINED
HG1458_PATCH	142845523	142915920	+1	Gene	ENSG00000269268	RP3-526F5.2	ENSG00000269268	1	318					
HG1458_PATCH	142845523	142915920	+1	Transcript	ENST00000595389	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3		
HG1458_PATCH	142913862	142913958	+1	Exon	exon_HG1458_PATCH_142913862_142913957	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	2	RETAINED
HG1458_PATCH	142915803	142915920	+1	Exon	exon_HG1458_PATCH_142915803_142915919	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	3	RETAINED
HG1458_PATCH	142845523	142845628	+1	Exon	exon_HG1458_PATCH_142845523_142845627	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	1	RETAINED
HG1458_PATCH	142845628	142913862	+1	Intron	ENST00000595389_intron_1	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3		
HG1458_PATCH	142913958	142915803	+1	Intron	ENST00000595389_intron_2	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3		
HG1458_PATCH	142913958	142913960	+1	SpliceSiteDonor	exon_HG1458_PATCH_142913862_142913957	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	2	RETAINED
HG1458_PATCH	142894520	142899520	+1	Downstream	ENST00000595884	RP11-29O6.2	ENSG00000269569	1	343	ENST00000595884	343	1		
HG1458_PATCH	142845628	142845630	+1	SpliceSiteDonor	exon_HG1458_PATCH_142845523_142845627	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	1	RETAINED
HG1458_PATCH	142845625	142845628	+1	SpliceSiteRegion	exon_HG1458_PATCH_142845523_142845627	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	1	RETAINED
HG1458_PATCH	142840523	142845523	+1	Upstream	ENST00000595389	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3		
HG1458_PATCH	142894177	142894520	+1	Gene	ENSG00000269569	RP11-29O6.2	ENSG00000269569	1	343					
HG1458_PATCH	142894177	142894520	+1	Transcript	ENST00000595884	RP11-29O6.2	ENSG00000269569	1	343	ENST00000595884	343	1		
HG1458_PATCH	142894177	142894520	+1	Exon	exon_HG1458_PATCH_142894177_142894519	RP11-29O6.2	ENSG00000269569	1	343	ENST00000595884	343	1	1	RETAINED
HG1458_PATCH	142889177	142894177	+1	Upstream	ENST00000595884	RP11-29O6.2	ENSG00000269569	1	343	ENST00000595884	343	1		
HG1458_PATCH	142913862	142913865	+1	SpliceSiteRegion	exon_HG1458_PATCH_142913862_142913957	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	2	RETAINED
HG1458_PATCH	142913860	142913862	+1	SpliceSiteAcceptor	exon_HG1458_PATCH_142913862_142913957	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	2	RETAINED
HG1458_PATCH	142913854	142913860	+1	SpliceSiteRegion	ENST00000595389_intron_1	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3		
HG1458_PATCH	142913955	142913958	+1	SpliceSiteRegion	exon_HG1458_PATCH_142913862_142913957	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	2	RETAINED
HG1458_PATCH	142915920	143396620	+1	Intergenic	RP3-526F5.2...RP1-169P22.2									
HG1458_PATCH	143391620	143396620	+1	Downstream	ENST00000594185	RP1-169P22.2	ENSG00000268718	1	247	ENST00000594185	247	1		
HG1458_PATCH	143391918	143396918	+1	Upstream	ENST00000596914	RRM2P4	ENSG00000267921	1	562	ENST00000596914	562	1		
HG1458_PATCH	142915803	142915806	+1	SpliceSiteRegion	exon_HG1458_PATCH_142915803_142915919	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	3	RETAINED
HG1458_PATCH	142915801	142915803	+1	SpliceSiteAcceptor	exon_HG1458_PATCH_142915803_142915919	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3	3	RETAINED
HG1458_PATCH	142913960	142913966	+1	SpliceSiteRegion	ENST00000595389_intron_2	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3		
HG1458_PATCH	142915920	142920920	+1	Downstream	ENST00000595389	RP3-526F5.2	ENSG00000269268	1	318	ENST00000595389	318	3		
HG1458_PATCH	143396867	143401867	+1	Upstream	ENST00000594185	RP1-169P22.2	ENSG00000268718	1	247	ENST00000594185	247	1		
HG1458_PATCH	143396918	143397480	+1	Gene	ENSG00000267921	RRM2P4	ENSG00000267921	1	562					
HG1458_PATCH	143396918	143397480	+1	Transcript	ENST00000596914	RRM2P4	ENSG00000267921	1	562	ENST00000596914	562	1		
HG1458_PATCH	143396918	143397480	+1	Exon	exon_HG1458_PATCH_143396918_143397479	RRM2P4	ENSG00000267921	1	562	ENST00000596914	562	1	1	RETAINED
HG1458_PATCH	143396867	143396918	+1	Intergenic	RP1-169P22.2...RRM2P4									
HG1458_PATCH	143396620	143396867	-1	Gene	ENSG00000268718	RP1-169P22.2	ENSG00000268718	1	247					
HG1458_PATCH	143396620	143396867	-1	Transcript	ENST00000594185	RP1-169P22.2	ENSG00000268718	1	247	ENST00000594185	247	1		
HG1458_PATCH	143396620	143396867	-1	Exon	exon_HG1458_PATCH_143396620_143396866	RP1-169P22.2	ENSG00000268718	1	247	ENST00000594185	247	1	1	RETAINED
HG1458_PATCH	143397480	143402480	+1	Downstream	ENST00000596914	RRM2P4	ENSG00000267921	1	562	ENST00000596914	562	1		
HG27_PATCH	1	171147517	+1	Chromosome	HG27_PATCH									
HG27_PATCH	26633855	26638855	+1	Downstream	ENST00000594430	ZNF322	ENSG00000267894	5	1209	ENST00000594430	467	3		
HG27_PATCH	26633868	26638868	+1	Downstream	ENST00000596100	ZNF322	ENSG00000267894	5	1209	ENST00000596100	572	5		
HG27_PATCH	26636518	26659981	-1	Gene	ENSG00000267894	ZNF322	ENSG00000267894	5	1209					
HG27_PATCH	26636518	26659981	-1	Transcript	ENST00000595473	ZNF322	ENSG00000267894	5	1209	ENST00000595473	1209	4		
